id,stress_level,category,trigger_tag,recommendation_text,duration_minutes,frequency_per_day,suggested_timing,cultural_note,evidence_note,source_name,source_url
1,low,breathing,headache,"Grounding + breathing: notice 5 things you see, then do slow breathing for 3 minutes",3,2,after work,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
2,low,breathing,panic,"4–6 breathing: inhale 4s, exhale 6s for 5 minutes",5,2,evening,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
3,low,breathing,anxiety,"Box breathing: inhale 4s, hold 4s, exhale 4s, hold 4s for 5 minutes",5,2,evening,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
4,low,breathing,panic,"Slow belly breathing: inhale through nose, exhale longer than inhale for 3 minutes",3,1,evening,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
5,low,breathing,anxiety,"Box breathing: inhale 4s, hold 4s, exhale 4s, hold 4s for 7 minutes",7,1,after work,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
6,low,breathing,work_pressure,"4–6 breathing: inhale 4s, exhale 6s for 3 minutes",3,1,after work,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
7,low,breathing,work_pressure,"Slow belly breathing: inhale through nose, exhale longer than inhale for 15 minutes",15,2,evening,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
8,low,breathing,work_pressure,"Slow belly breathing: inhale through nose, exhale longer than inhale for 5 minutes",5,2,after work,,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
9,low,meditation,burnout,Loving-kindness (Metta) reflection for 10 minutes,10,1,evening,Sri Lanka context: adapt to your daily routine and family schedule.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
10,low,meditation,irritability,Body-scan relaxation: relax from head to toes for 3 minutes,3,1,after work,Sri Lanka context: suitable for long bus/train commutes.,Use as a preventive habit.,WHO Doing What Matters in Times of Stress (PDF),https://iris.who.int/bitstream/handle/10665/331901/9789240003910-eng.pdf?sequence=1
